Technologie,Quadrant,Ring,Beschreibung
API-first Development,Konzepte und Methoden,Verbreiten (Adopt),"Beim API-first-Ansatz erfolgt der Entwurf und die Entwicklung der Schnittstelle vor deren Implementierung.
Durch dieses Vorgehen wird die Aufmerksamkeit gleich zu Beginn auf das Datenmodell und die Geschäftslogik gelenkt, was in der Regel zu robusteren Schnittstellen führt.
Der Schnittstellenentwurf kann auch als Vertrag betrachtet werden, auf den verschiedene Teams parallel hinarbeiten. Dieser Aspekt spielt bei der Grösse der Projektteams innerhalb der Inventage jedoch noch keine entscheidende Rolle.
Durch den Einsatz von Codegeneratoren (wie z.B. OpenAPI Generator für OpenAPI-Schnittstellen) kann bei Bedarf ein Gerüst für verschiedene Client- und Server-Implementierungen (auch in unterschiedlichen Sprachen) generiert werden. Dies vermindert den Aufwand für das Schreiben von reinem Infrastruktur-Code. Auch wenn von dieser Möglichkeit kein Gebrauch gemacht wird, können mit geeigneten Tools (wie z.B. Swagger-UI zu Testzwecken Clients generiert werden, mit deren Hilfe die Schnittstelle schon während des Entwurfs getestet werden kann.
Auch wenn mit diesem Ansatz bei Inventage gute Erfahrungen gemacht wurden und er deshalb hier zur Verbreitung empfohlen wird, soll seine Anwendung nicht als Zwang verstanden werden. Es steht jedem Team frei, bei rein internen APIs auch den Code-first-Ansatz zu wählen."
Architectural Decision Record (ADR),Konzepte und Methoden,Abschätzen (Assess),"Architectural Decision Records (ADR) sind ein leichtgewichtiger Ansatz, um wichtige Entscheidungen zu dokumentieren, welche die Architektur betreffen. ADRs werden in der Regel in Markdown-Dateien neben dem Code in einem Versionskontrollsystem gespeichert. Sie dokumentieren den Kontext und die Konsequenzen einer Entscheidung. Die Inventage AG setzt ADRs bereits bei einigen Projekten ein, um Neukömmlinge eines Projektes auf einen akzeptablen Wissensstand zu bringen. Dank den ADRs erübrigen sich häufig wiederkehrende Fragen, weswegen gewisse Entscheidungen getroffen worden sind und entlasten dadurch das Team."
Artificial Intelligence,Konzepte und Methoden,Abschätzen (Assess),"Unter Artificial Intellgence (AI) versteht man menschliches Lernen und Dencken auf Computer zu übertragen. Mit GPT-3, DALL-E und Stable Diffusion wurden im letzten Jahr bereits Deep-Learning Modelle entwickelt, die bereits so ausgereift sind, dass darauf Produkte entwickelt werden können. AI wird in Zukunft mit Sicherheit eine grosse Rolle in der Digitalisierung spielen.
Als Inventage wollen wir herausfinden, was diese Entwicklung für uns bedeutet. Selbst wollen wir keine AI Technologien entwicklen, unsere Stärken liegen in anderen Bereichen. Wir wollen uns aber stärker mit dem Thema AI auseinandersetzen und herausfinden, was für AI Services es auf dem Markt gibt und wie wir diese gewinnbringend für unsere Kunden einsetzen und in ihre Applikationen verbauen können.
Mögliche Einsätze von AI in Applikationen unserer Kunden sind:
Recommender Systems: Systeme, die das Verhalten von Benutzern untersuchen und daraus versuchen Vorhersagen über das Interesse eines Benutzers für personalisierte Vorschläge zu machen.
Conversational Interfaces: Chatbots sind eine Form von Conversation Interfaces. Im Gegensatz zu strukturieren Web GUIs können benutzer auf natürliche Weise mit dem System ""sprechen"" was für eine verbesserte Kundenbetreuung sorgen kann.
Annomalie Detection: Das System erkennt Unregelmässigkeiten automatisch und macht den Betreiber der Software darauf aufmerksam, was zum Beispiel für Betrugserkennung eingesetzt werden kann.
Tracking: Das Kundenverhalten wird analysiert indem die Interaktion vom Benutzer mit der Software aufgezeichnet wird. Über AI kann aus diesem Verhalten wichtige Informationen für die Weiterentwicklung der Software oder Produkte gewonnen werden."
Automatisiertes E2E Testing,Konzepte und Methoden,Testen (Trial),
Buildless Web Development,Konzepte und Methoden,Testen (Trial),"Viele der heutigen Web Development Tools sind entstanden, weil die Entwicklung der Webbrowser hinter derjenigen der Sprachen war. Heute sieht die Situation anders aus und moderne Browser unterstützen die meisten modernen Sprachfeatures. 
Wir sind überzeugt, dass Web Entwickler als Erstes die Plattform und deren APIs kennen müssen—noch vor allen Frameworks, die ohnehin alle auf dieser Plattform aufbauen. Insbesondere bei der Entwicklung kann für viele Arbeitsabläufe auf die Browserfunktionalität zurückgegriffen und werden. So werden die nicht unbedingt notwendigen Transformationsschritte weggelassen, beim Programmcode werden moderne Sprachfeatures verwendet, weil sie direkt vom Browser interpretiert werden können.
Es ist uns bewusst, dass es heute für produktive Releases in der Regel nicht ohne einen «Build» geht. Speziell dann, wenn unser Programmcode in einer Vielzahl und nicht nur in modernen Browsern lauffähig sein muss. Wir hoffen, es ist nur eine Frage der Zeit, bis sich die Browser-Landschaft so weit modernisiert, dass in Zukunft immer weniger Arbeitsschritte benötigt werden, um modernen Programmcode einer noch breiteren Masse zugänglich zu machen."
CI/CD,Konzepte und Methoden,Verbreiten (Adopt),"CI/CD – Continuous Integration und Continuous Delivery – sind Methodiken des Software-Engineering bei denen Codeänderungen am Produkt mit möglichst kleiner zeitlicher Verzögerung und kleinem manuellem Aufwand gebaut, getestet und zu einem Produkt zusammengefügt (""integrated"") wie auch in einem geeigneten Format ausgeliefert (""delivery"") werden. Ein weiterer Schritt ist das automatisierte (ggf. auf Knopfdruck) Installieren der Software auf dem Zielsystem (""Continuous Deployment"").
Die Methodik trägt massgeblich zur Qualität von Software bei, da Probleme unmittelbar sichtbar werden und ermöglicht sehr viel schnellere Entwicklungszyklen, da Änderungen am Code bereits kurze Zeit später auf Testumgebungen von den Benutzern getestet werden können, sowie im Erfolgsfall umgehend auf einer produktiven Umgebung installiert.
Wir setzen stark auf CI/CD und streben zunehmend die vollständige Automatisierung des kompletten Release-Zyklus an. Neuere Projekte setzen dies in der Regel bereits um. Wir erreichen dies durch Einsatz geeigneter Tools wie bislang dem Jenkins Buildserver sowie zunehmend container-basierter Buildsysteme wie z.B. GitHub Actions,  Gitlab CI."
Codequaliät,Konzepte und Methoden,Verbreiten (Adopt),"Erfolgreiche Software zeichnet sich nicht nur durch ihre Funktionalität oder die die Anzahl Features aus, sondern sollte auch eine hohe Codequaliät vorweisen. Code mit hoher Qualität ist weniger fehleranfällig und erfordert dadurch weniger Fehlerbehebung, was Zeit und Geld spart. Die Software läuft zuverlässiger und wird weniger Ausfälle verursachen, wodurch die Benutzer und Kunden profitieren. Gut strukturierter Code is wartbar und lässt sich leiter erweitern und skalieren, was bei wachsenden Anforderungen zu Gute kommt. Gut lesbarer Code lässt sich einfacher verstehen und erleichtert dadurch die Zusammenarbeit im Team. Nicht zuletzt steigert eine hohe Codequaliät auch die Sicherheit der Software.
Um eine hohe Codequaliät zu gewährleisten verwenden wir verschiedene statische Code-Analyse-Tools (Checkstyle, SpotBugs, PMD, Hadolint, ESLint), welche uns dabei unterstützen den Code nach möglichen Fehlern und Problemen zu untersuchen und uns auf Best Practices aufmerkam machen. Über Unit-Tests stellen wir sicher, dass der Programmcode korrekt funktioniert und dass Änderungen nicht unbeabsichtigt negative Auswirkungen haben. Sowohl statische Code-Analyse-Tools sowie Unit-Tests unterstützen uns bei der Entwicklung direkt aus der IDE heraus und werden zusätzlich bei jedem Build ausgeführt, um frühzeitig auf allfällige Fehler und Probleme hinzuweisen.
Die Nachvollziebarkeit von Code Änderungen wird über das Versionierungs Tool Git sichergestellt. Änderungen, welche für die Produktion bestimmt sind, werden über Pull Requests und Code-Reviews diskutiert, bevor sie appliziert werden.
Um eine hohe Codequaliät zu erreichen braucht es meist einen zusätzlichen Aufwand, wir sind aber davon überzeugt, dass sich dieser Aufwand lohnt und die Investition sich langfristig auszahlt."
DDD,Konzepte und Methoden,Testen (Trial),"Domain Driven Design (DDD) hilft bei der Implementation von Fachapplikationen. Zentral ist dabei die Verwendung einer einheitlichen und präzisen Prosa Sprache für die Beschreibung von Abstraktionen (Modellen) zwischen Entwicklern und Fachpersonen. Es wird zwischen einem taktischen und einem strategischen Teil unterschieden. Der taktische Teil behandelt die verschiedenen Verantwortlichkeiten (Stereotypen/Building Blocks) der Klassen. In Kombination mit einer Packagestruktur gemäss hexagonaler- / Onion Architektur ergibt sich daraus eine klar nachvollziehbare und [leicht zu testende Implementation](https://livebook.manning.com/book/effective-software-testing/chapter-7/137). Der strategische Teil bietet Konzepte für die Abgrenzung und Integration mehrerer Bereiche untereinander und dient damit vor allem der Architekturstufe.
Bei Inventage haben wir DDD (taktisch und strategisch) erfolgreich in mehreren Projekten eingesetzt. Bei Projekten für Fachbereiche sehen wir in DDD den grössten Nutzen. Aus diesem Grund empfehlen wir DDD in weiteren Projekten einzusetzen und zu testen. Die Lernkurve für DDD ist leider aufgrund der aktuell verfügbaren Literatur noch etwas holprig."
Design Tokens,Konzepte und Methoden,Abschätzen (Assess),"Design Tokens bilden die Basis von Design-Systemen. Mit ihrer Hilfe werden Designentscheidungen benannt, gespeichert und verteilt, sodass sie in verschiedenen Design-Tools und Programmiersprachen verwendet werden können. Sie ermöglichen Produkte mit einer konsistenten UI-Sprache für verschiedene Systemen und unter Einbezug von vielen Stakeholder zu bauen.
Vorläufer von Design Tokens werden in fast allen unseren Projekten primär im CSS als Variablen abgebildet. Hier unterscheiden wir zwischen Kompilierzeitvariablen (SASS Variablen) und Laufzeitvariablen (CSS Custom Properties). Viele unsere Projekte sind mandantenfähig. In solchen Systemen sind primär die Laufzeitvariablen interessant, weil sie eine Anpassung des Produkts direkt im Browser und ohne einen Build ermöglichen. Damit wird das Theming eines Produkts vereinfacht.
Obwohl nicht jedes Projekt die nötige Grösse hat, um dazu gleich auch ein Design-System zu bauen, möchten wir in Zukunft noch mehr Erfahrung mit solchen Laufzeitkonfigurationen mithilfe von Design Tokens sammeln. Wo möglich und sinnvoll, im Rahmen eines eigenen oder bestehenden Design-Systems."
GraphQL,Konzepte und Methoden,Verbreiten (Adopt),"GraphQL ist eine Schnittstelle für den lesenden und schreibenden Datenzugriff über das HTTP Protokoll. Es stellt eine Alternative zu REST dar und bietet gegenüber dieser den Vorteil, dass die Datentiefe und -breite bei einem Aufruf gesteuert werden kann.
Wir haben beim Einsatz von GraphQL einen grossen Gewinn an Flexibilität bei der Entwicklung feststellen können. Sei es durch eine weniger starke Kopplung zwischen Datenproduzent und -konsument oder bei der Nutzung der gleichen Daten von unterschiedlichen Datenkonsument. Daneben führt die Verwendung zu einer effizienten Datenverarbeitung und -transfer, weil nur die benötigten Daten bereitgestellt und übertragen werden müssen.
Aufgrund unserer Erfahrungen bei mehrfachen Projekteinsätzen können wir die breite Verwendung von GraphQL stärkstens empfehlen. Zur Unterstützung setzen wir häufig Hasura ein. Es ist ein OpenSource Werkzeug für die Bereitstellung einer GraphQL Fassade vor bestehende Datenspeicher."
